'03.04.2023 17:09:07','638161385475792636','MouseMovement','None','X:823,Y:471'
'03.04.2023 17:09:07','638161385475896019','MouseMovement','None','X:816,Y:459'
'03.04.2023 17:09:07','638161385476003440','MouseMovement','None','X:813,Y:455'
'03.04.2023 17:09:07','638161385476113448','MouseMovement','None','X:807,Y:451'
'03.04.2023 17:09:07','638161385476216943','MouseMovement','None','X:806,Y:451'
'03.04.2023 17:09:07','638161385476329330','MouseMovement','None','X:804,Y:450'
'03.04.2023 17:09:07','638161385476430600','MouseMovement','None','X:803,Y:449'
'03.04.2023 17:09:07','638161385476538837','MouseMovement','None','X:801,Y:448'
'03.04.2023 17:09:07','638161385476643533','MouseMovement','None','X:799,Y:447'
'03.04.2023 17:09:07','638161385476749930','MouseMovement','None','X:790,Y:444'
'03.04.2023 17:09:07','638161385476856176','MouseMovement','None','X:784,Y:442'
'03.04.2023 17:09:07','638161385476962597','MouseMovement','None','X:779,Y:441'
'03.04.2023 17:09:07','638161385477070147','MouseMovement','None','X:775,Y:441'
'03.04.2023 17:09:07','638161385477175883','MouseMovement','None','X:770,Y:441'
'03.04.2023 17:09:07','638161385477287103','MouseMovement','None','X:769,Y:441'
'03.04.2023 17:09:07','638161385477443659','MouseMovement','None','X:768,Y:441'
'03.04.2023 17:09:08','638161385480588766','MouseMovement','None','X:768,Y:439'
'03.04.2023 17:09:08','638161385480697715','MouseMovement','None','X:768,Y:436'
'03.04.2023 17:09:08','638161385480960727','MouseMovement','None','X:771,Y:431'
'03.04.2023 17:09:08','638161385481018115','MouseMovement','None','X:774,Y:425'
'03.04.2023 17:09:08','638161385481126398','MouseMovement','None','X:775,Y:424'
'03.04.2023 17:09:08','638161385481337652','MouseMovement','None','X:778,Y:418'
'03.04.2023 17:09:08','638161385481442476','MouseMovement','None','X:784,Y:412'
'03.04.2023 17:09:08','638161385481551386','MouseMovement','None','X:790,Y:406'
'03.04.2023 17:09:08','638161385481815829','MouseMovement','None','X:797,Y:395'
'03.04.2023 17:09:08','638161385481857171','MouseMovement','None','X:801,Y:387'
